Device_ID,Channel_ID,Test_Time,Step_ID,Cycle_ID,EIS_Test_ID,EIS_Data_Point,Frequency,Zmod,Zphz,Zreal,Zimg,OCV,AC_Amp_RMS,DC_Base,Driven_Type,Product_ID
25925825,3,36021.9411,13,1,0,28,319.6023,0.0160,-3.6277,0.0159,-0.0010,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,29,418.5268,0.0157,-3.2653,0.0157,-0.0009,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,30,558.0357,0.0155,-2.6810,0.0155,-0.0007,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,31,745.7386,0.0152,-1.9575,0.0152,-0.0005,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,32,1004.4640,0.0150,-0.8710,0.0150,-0.0002,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,33,1324.7280,0.0148,0.5085,0.0148,0.0001,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,34,1770.8330,0.0146,2.4255,0.0146,0.0006,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,35,2343.7500,0.0145,4.7976,0.0144,0.0012,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,36,3164.0630,0.0145,8.0502,0.0143,0.0020,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,37,4230.1830,0.0146,12.0330,0.0143,0.0030,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,38,5602.1340,0.0149,16.6999,0.0143,0.0043,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,39,7431.4020,0.0156,22.2134,0.0144,0.0059,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,0,0.1001,0.0319,-7.0936,0.0316,-0.0039,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,1,0.1335,0.0314,-6.6594,0.0312,-0.0036,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,2,0.1781,0.0310,-6.4006,0.0308,-0.0035,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,3,0.2372,0.0306,-6.4234,0.0304,-0.0034,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,4,0.3167,0.0301,-6.6790,0.0299,-0.0035,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,5,0.4231,0.0297,-7.1723,0.0295,-0.0037,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,6,0.5634,0.0292,-7.9788,0.0289,-0.0040,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,7,0.7512,0.0285,-9.0306,0.0282,-0.0045,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,8,1.0016,0.0277,-10.1640,0.0273,-0.0049,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,9,1.3470,0.0267,-11.4565,0.0262,-0.0053,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,10,1.7589,0.0256,-12.3267,0.0250,-0.0055,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,11,2.3916,0.0241,-13.0918,0.0235,-0.0055,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,12,3.1672,0.0228,-13.1108,0.0222,-0.0052,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,13,4.2344,0.0216,-12.4870,0.0211,-0.0047,4.1858,0.25,0,Galvanostatic,Gamry_1
25925825,3,36021.9411,13,1,0,14,5.5804,0.0206,-11.4856,0.0202,-0.0041,4.1858,0.25,0,Galvanostatic,Gamry_1
